"id","appID","day","data","user_id","lite"
"855","71","2018-04-10","{""breaks"":0,""periods"":-735000}","52","f"
"856","72","2018-04-19","{""breaks"":3,""periods"":-13845000}","52","f"
"857","73","2018-04-19","{""breaks"":3,""periods"":-13845000}","52","f"
"858","74","2018-04-24","{""breaks"":3,""periods"":525000}","52","f"
"859","75","2018-04-24","{""breaks"":3,""periods"":525000}","52","f"
"860","24","2018-04-16","{""breaks"":1,""periods"":0}","51","f"
"861","25","2018-04-16","{""breaks"":1,""periods"":0}","51","f"
"862","26","2018-04-25","{""breaks"":-1,""periods"":-6960000}","51","f"
"863","27","2018-04-25","{""breaks"":-1,""periods"":-6960000}","51","f"
"864","24","2018-04-26","{""breaks"":-1,""periods"":-4035000}","53","f"
"865","76","2018-04-26","{""breaks"":2,""periods"":585000}","52","f"
"866","8","2018-04-26","{""breaks"":2,""periods"":2910000}","39","f"
"867","9","2018-04-26","{""breaks"":2,""periods"":2910000}","39","f"
"868","77","2018-04-27","{""breaks"":-2,""periods"":-5025000}","52","f"
"869","78","2018-04-28","{""breaks"":-2,""periods"":-5025000}","52","f"
"870","48","2018-04-26","{""breaks"":-1,""periods"":-4140000}","58","f"
"871","49","2018-04-27","{""breaks"":-2,""periods"":-4140000}","58","f"
"872","50","2018-04-28","{""breaks"":-2,""periods"":-4140000}","58","f"
"873","51","2018-04-29","{""breaks"":-2,""periods"":-4140000}","58","f"
"874","79","2018-04-29","{""breaks"":-2,""periods"":-5025000}","52","f"
"875","80","2018-04-29","{""breaks"":-2,""periods"":-5025000}","52","f"
"876","23","2018-04-26","{""breaks"":3,""periods"":-435000}","50","f"
"877","24","2018-04-27","{""breaks"":-4,""periods"":-3750000}","50","f"
"878","25","2018-04-28","{""breaks"":-4,""periods"":-3750000}","50","f"
"879","26","2018-04-29","{""breaks"":-4,""periods"":-3750000}","50","f"
"880","10","2018-04-27","{""breaks"":-3,""periods"":-6945000}","39","f"
"881","11","2018-04-28","{""breaks"":-3,""periods"":-6945000}","39","f"
"882","12","2018-04-29","{""breaks"":-3,""periods"":-6945000}","39","f"
"883","81","2018-04-30","{""breaks"":2,""periods"":-1230000}","52","f"
"884","82","2018-04-30","{""breaks"":2,""periods"":-1230000}","52","f"
"885","52","2018-04-30","{""breaks"":0,""periods"":-4140000}","58","f"
"886","25","2018-04-27","{""breaks"":-1,""periods"":-4035000}","53","f"
"887","26","2018-04-28","{""breaks"":-1,""periods"":-4035000}","53","f"
"888","27","2018-04-29","{""breaks"":-1,""periods"":-4035000}","53","f"
"889","28","2018-04-30","{""breaks"":-1,""periods"":-4035000}","53","f"
"890","83","2018-03-13","{""breaks"":1,""periods"":-330000}","52","f"
"891","84","2018-03-13","{""breaks"":1,""periods"":-330000}","52","f"
"892","85","2018-05-01","{""breaks"":3,""periods"":-13080000}","52","f"
"893","86","2018-05-01","{""breaks"":3,""periods"":-13080000}","52","f"
"894","27","2018-04-30","{""breaks"":-3,""periods"":-3750000}","50","f"
"895","87","2018-05-02","{""breaks"":-2,""periods"":-5070000}","52","f"
"896","88","2018-05-02","{""breaks"":-2,""periods"":-5070000}","52","f"
"897","46","2018-04-23","{""breaks"":-2,""periods"":-14520000}","41","f"
"898","47","2018-04-23","{""breaks"":-2,""periods"":-14520000}","41","f"
"899","48","2018-04-24","{""breaks"":-2,""periods"":-14520000}","41","f"
"900","49","2018-04-24","{""breaks"":-2,""periods"":-14520000}","41","f"
"901","50","2018-04-25","{""breaks"":-2,""periods"":-14520000}","41","f"
"902","51","2018-04-25","{""breaks"":-2,""periods"":-14520000}","41","f"
"903","52","2018-04-26","{""breaks"":-2,""periods"":-14520000}","41","f"
"904","53","2018-04-26","{""breaks"":-2,""periods"":-14520000}","41","f"
"905","54","2018-04-27","{""breaks"":-2,""periods"":-14520000}","41","f"
"906","55","2018-04-27","{""breaks"":-2,""periods"":-14520000}","41","f"
"907","56","2018-04-28","{""breaks"":-2,""periods"":-14520000}","41","f"
"908","57","2018-04-28","{""breaks"":-2,""periods"":-14520000}","41","f"
"909","58","2018-04-29","{""breaks"":-2,""periods"":-14520000}","41","f"
"910","59","2018-04-29","{""breaks"":-2,""periods"":-14520000}","41","f"
"911","60","2018-04-30","{""breaks"":-2,""periods"":-14520000}","41","f"
"912","61","2018-04-30","{""breaks"":-2,""periods"":-14520000}","41","f"
"913","62","2018-05-01","{""breaks"":-2,""periods"":-14520000}","41","f"
"914","63","2018-05-01","{""breaks"":-2,""periods"":-14520000}","41","f"
"915","64","2018-05-02","{""breaks"":-2,""periods"":-14520000}","41","f"
"916","65","2018-05-02","{""breaks"":-2,""periods"":-14520000}","41","f"
"917","13","2018-04-30","{""breaks"":-3,""periods"":-6945000}","39","f"
"918","14","2018-05-01","{""breaks"":-3,""periods"":-6945000}","39","f"
"919","15","2018-05-02","{""breaks"":-3,""periods"":-6945000}","39","f"
"920","16","2018-05-03","{""breaks"":-3,""periods"":-6945000}","39","f"
"921","17","2018-05-04","{""breaks"":-3,""periods"":-6945000}","39","f"
"922","18","2018-05-05","{""breaks"":-3,""periods"":-6945000}","39","f"
"923","19","2018-05-06","{""breaks"":-3,""periods"":-6945000}","39","f"
"924","29","2018-05-01","{""breaks"":-1,""periods"":-4035000}","53","f"
"925","30","2018-05-02","{""breaks"":-1,""periods"":-4035000}","53","f"
"926","31","2018-05-03","{""breaks"":-1,""periods"":-4035000}","53","f"
"927","32","2018-05-04","{""breaks"":-1,""periods"":-4035000}","53","f"
"928","33","2018-05-05","{""breaks"":-1,""periods"":-4035000}","53","f"
"929","34","2018-05-06","{""breaks"":-1,""periods"":-4035000}","53","f"
"930","35","2018-05-07","{""breaks"":-1,""periods"":-4035000}","53","f"
"931","89","2018-05-03","{""breaks"":1,""periods"":0}","52","f"
"932","66","2018-05-03","{""breaks"":1,""periods"":-14520000}","41","f"
"933","53","2018-05-01","{""breaks"":1,""periods"":1560000}","58","f"
"934","54","2018-05-02","{""breaks"":0,""periods"":-7605000}","58","f"
