"id","appID","day","data","rewarded","user_id","lite"
"111","1","2017-12-04","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","32","f"
"112","8","2017-11-30","{}","f","39","f"
"113","15","2017-12-04","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"114","1","2017-12-05","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","30","f"
"115","11","2017-12-05","{}","f","37","f"
"116","15","2017-12-04","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","35","f"
"117","16","2017-12-05","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"118","8","2017-12-05","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","42","f"
"119","1","2017-12-05","{}","f","39","f"
"120","4","2017-12-05","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","29","f"
"121","2","2017-12-06","{}","f","30","f"
"122","16","2017-12-06","{""type"":""break"",""breakCountPref"":2,""breakCount"":7}","t","35","f"
"123","13","2017-12-06","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","38","f"
"124","9","2017-12-06","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","42","f"
"125","2","2017-12-06","{}","f","32","f"
"126","17","2017-12-06","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"127","3","2017-12-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","30","f"
"128","18","2017-12-07","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"129","14","2017-12-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","38","f"
"130","12","2017-12-08","{}","f","37","f"
"131","17","2017-12-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","35","f"
"132","18","2017-12-08","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","35","f"
"133","19","2017-12-08","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"134","5","2017-12-05","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","31","f"
"135","6","2017-12-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","31","f"
"136","19","2017-12-11","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","35","f"
"137","1","2017-12-11","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","39","f"
"138","20","2017-12-11","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"139","4","2017-12-11","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","30","f"
"140","5","2017-12-12","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","30","f"
"141","13","2017-12-12","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","37","f"
"142","10","2017-12-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","42","f"
"143","21","2017-12-12","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"144","20","2017-12-12","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"145","21","2017-12-13","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"146","11","2017-12-13","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","42","f"
"147","22","2017-12-13","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"148","7","2017-12-13","{}","f","31","f"
"149","2","2017-12-12","{}","f","39","f"
"150","3","2017-12-13","{}","f","39","f"
"151","22","2017-12-14","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","35","f"
"152","8","2017-12-14","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","31","f"
"153","9","2017-12-15","{}","f","31","f"
"154","23","2017-12-15","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","35","f"
"155","23","2017-12-15","{""type"":""break"",""breakCountPref"":1,""breakCount"":2}","t","41","f"
"156","15","2017-12-15","{}","f","38","f"
"157","5","2017-12-08","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","29","f"
"158","6","2017-12-11","{}","f","29","f"
"159","1","2017-12-18","{}","f","30","f"
"160","24","2017-12-18","{}","f","35","f"
"161","24","2017-12-18","{""type"":""break"",""breakCountPref"":1,""breakCount"":1}","t","41","f"
"162","12","2017-12-18","{}","f","42","f"
"163","2","2017-12-19","{}","f","30","f"
"164","10","2017-12-18","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","31","f"
"165","13","2017-12-19","{""type"":""break"",""breakCountPref"":2,""breakCount"":5}","t","42","f"
"166","7","2017-12-19","{}","f","29","f"
"167","25","2017-12-19","{""type"":""break"",""breakCountPref"":1,""breakCount"":3}","t","41","f"
"168","11","2017-12-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","31","f"
"169","3","2017-12-21","{}","f","30","f"
"170","8","2017-12-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","29","f"
"171","9","2017-12-31","{""type"":""break"",""breakCountPref"":2,""breakCount"":7}","t","29","f"
"172","10","2018-01-01","{""type"":""break"",""breakCountPref"":2,""breakCount"":7}","t","29","f"
"173","11","2018-01-02","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","29","f"
"174","12","2018-01-03","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","29","f"
"175","13","2018-01-04","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","29","f"
"176","14","2018-01-07","{}","f","29","f"
"177","14","2017-12-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":3}","t","42","f"
"178","4","2017-12-18","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","39","f"
"179","5","2017-12-20","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","39","f"
"180","3","2017-12-07","{""type"":""break"",""breakCountPref"":2,""breakCount"":2}","t","32","f"
"181","4","2017-12-01","{""type"":""break"",""breakCountPref"":2,""breakCount"":4}","t","32","f"
"182","5","2018-01-04","{}","f","32","f"
