"id","appID","timestamp","status","user_id","lite"
"3102","37","2018-03-28 13:01:11.299+00","t","52","f"
"3103","38","2018-03-28 13:11:02.217+00","f","52","f"
"3104","39","2018-03-28 13:16:01.71+00","t","52","f"
"3105","40","2018-03-28 14:11:24.278+00","f","52","f"
"3106","39","2018-03-28 15:00:54.568+00","f","53","f"
"3107","110","2018-03-28 16:06:07.778+00","f","54","f"
"3108","41","2018-03-29 06:52:49.064+00","t","52","f"
"3109","40","2018-03-29 07:00:24.436+00","t","53","f"
"3110","35","2018-03-29 08:01:12.144+00","t","58","f"
"3111","37","2018-03-29 08:57:20.414+00","f","55","f"
"3112","38","2018-03-29 08:57:22.949+00","t","55","f"
"3113","92","2018-03-29 09:28:29.783+00","t","50","f"
"3114","111","2018-03-29 11:00:55.187+00","t","54","f"
"3115","42","2018-03-29 14:17:23.706+00","f","52","f"
"3116","41","2018-03-29 14:59:45.456+00","f","53","f"
"3117","39","2018-03-29 15:07:46.604+00","f","55","f"
"3118","36","2018-03-29 17:10:33.394+00","f","58","f"
"3119","112","2018-03-29 19:52:38.211+00","f","54","f"
"3120","113","2018-03-30 09:36:57.056+00","t","54","f"
"3121","114","2018-03-30 17:01:45.641+00","f","54","f"
"3122","115","2018-03-31 10:49:41.987+00","t","54","f"
"3123","40","2018-03-31 14:12:46.154+00","t","55","f"
"3124","41","2018-03-31 15:56:22.833+00","f","55","f"
"3125","116","2018-03-31 17:22:09.978+00","f","54","f"
"3126","117","2018-04-01 13:03:47.443+00","t","54","f"
"3127","118","2018-04-01 21:46:07.716+00","f","54","f"
"3128","119","2018-04-02 10:26:11.523+00","t","54","f"
"3129","120","2018-04-02 17:30:23.573+00","f","54","f"
"3130","121","2018-04-03 09:52:26.199+00","t","54","f"
"3131","42","2018-04-04 07:38:54.372+00","t","53","f"
"3132","42","2018-04-04 08:31:51.943+00","t","55","f"
"3133","17","2018-04-04 08:59:10.915+00","t","51","f"
"3134","93","2018-04-04 09:05:56.184+00","t","50","f"
"3135","18","2018-04-04 15:22:16.601+00","f","51","f"
"3136","43","2018-04-04 18:11:02.425+00","f","55","f"
"3137","7","2018-03-28 10:19:55.825+00","t","57","f"
"3138","8","2018-03-28 14:41:19.264+00","f","57","f"
"3139","9","2018-03-29 09:25:38.442+00","t","57","f"
"3140","10","2018-03-29 12:59:42.147+00","f","57","f"
"3141","94","2018-04-05 09:53:14.67+00","t","50","f"
"3142","95","2018-04-05 13:46:14.642+00","f","50","f"
"3143","96","2018-04-05 13:46:15.916+00","t","50","f"
"3144","43","2018-04-04 15:00:20.096+00","f","53","f"
"3145","44","2018-04-06 08:26:58.574+00","t","55","f"
"3146","45","2018-04-06 08:27:31.667+00","f","55","f"
"3147","46","2018-04-06 08:27:46.638+00","t","55","f"
"3148","44","2018-04-06 08:19:22.909+00","t","53","f"
"3149","122","2018-04-06 10:20:56.837+00","t","54","f"
"3150","45","2018-04-06 14:07:53.323+00","f","53","f"
"3151","46","2018-04-06 14:07:55.567+00","t","53","f"
"3152","47","2018-04-06 14:47:42.427+00","f","53","f"
"3153","47","2018-04-06 15:06:27.955+00","f","55","f"
"3154","123","2018-04-06 17:33:12.354+00","f","54","f"
"3155","124","2018-04-08 16:18:01.51+00","t","54","f"
"3156","125","2018-04-08 22:19:36.651+00","f","54","f"
"3157","48","2018-04-09 07:45:44.313+00","t","53","f"
"3158","37","2018-04-09 07:47:08.245+00","t","58","f"
"3159","43","2018-04-09 08:04:01.421+00","t","52","f"
"3160","97","2018-04-09 08:19:09.677+00","t","50","f"
"3161","44","2018-04-09 08:54:53.08+00","f","52","f"
"3162","45","2018-04-09 08:54:55.683+00","t","52","f"
"3163","46","2018-04-09 09:25:30.699+00","f","52","f"
"3164","47","2018-04-09 09:25:37.334+00","t","52","f"
"3165","11","2018-04-09 09:53:26.661+00","t","57","f"
"3166","126","2018-04-09 10:31:12.167+00","t","54","f"
"3167","127","2018-04-09 11:34:05.503+00","f","54","f"
"3168","128","2018-04-09 11:35:11.071+00","t","54","f"
"3169","98","2018-04-09 13:48:10.322+00","f","50","f"
"3170","99","2018-04-09 13:48:11.566+00","t","50","f"
"3171","38","2018-04-09 14:42:26.787+00","f","58","f"
"3172","49","2018-04-09 15:22:08.742+00","f","53","f"
"3173","48","2018-04-09 15:47:16.486+00","f","52","f"
"3174","129","2018-04-09 18:51:07.186+00","f","54","f"
"3175","39","2018-04-10 06:12:30.712+00","t","58","f"
"3176","50","2018-04-10 07:50:03.853+00","t","53","f"
"3177","49","2018-04-10 08:09:05.201+00","t","52","f"
"3178","51","2018-04-10 08:09:28.739+00","f","53","f"
"3179","52","2018-04-10 08:09:32.399+00","t","53","f"
"3180","53","2018-04-10 08:21:51.008+00","f","53","f"
"3181","54","2018-04-10 08:21:52.781+00","t","53","f"
"3182","12","2018-04-09 13:15:53.242+00","f","57","f"
"3183","13","2018-04-10 09:10:36.299+00","t","57","f"
"3184","100","2018-04-10 11:11:15.955+00","t","50","f"
"3185","14","2018-04-10 12:14:12.95+00","f","57","f"
"3186","15","2018-04-10 12:27:33.45+00","t","57","f"
"3187","40","2018-04-10 14:53:05.409+00","f","58","f"
"3188","55","2018-04-10 15:27:36.94+00","f","53","f"
"3189","50","2018-04-10 15:50:27.663+00","f","52","f"
