"id","appID","timestamp","start","duration","user_id","active","details","lite"
"106","5","2017-12-05 14:23:20.051+00","2017-12-05 14:22:46.905+00","0","41","f","sadly i am away from my mug and didn't notice the time ","f"
"107","2","2017-12-06 12:17:06.204+00","2017-12-06 09:30:37.875+00","9960000","32","f","in a training.","f"
"108","3","2017-12-07 10:40:12.61+00","2017-12-07 10:20:53.924+00","1140000","32","t","","f"
"109","1","2017-12-12 12:59:54.899+00","2017-12-12 12:57:36.54+00","180000","39","t","","f"
"110","2","2017-12-12 13:01:38.001+00","2017-12-12 12:58:27.469+00","180000","39","t","","f"
"111","3","2017-12-12 13:08:25.958+00","2017-12-12 12:58:03.428+00","300000","39","t","","f"
"112","4","2017-12-12 14:38:43.646+00","2017-12-12 14:00:25.839+00","2280000","39","t","","f"
"113","1","2018-01-01 11:36:12.198+00","2018-01-01 11:30:57.164+00","300000","29","f","unexpected break","f"
"114","2","2018-01-02 23:08:32.519+00","2018-01-02 18:20:05.65+00","1200000","29","t","shopping","f"
"115","3","2018-01-02 23:09:23.711+00","2018-01-02 19:45:53.783+00","300000","29","t","test override","f"
"116","4","2018-01-02 23:10:10.413+00","2018-01-02 18:30:33.101+00","720000","29","t","shopping","f"
"117","13","2018-01-08 12:20:00.702+00","2018-01-08 12:10:39.248+00","540000","42","t","photocopying","f"
"118","4","2018-01-04 14:17:01.991+00","2018-01-04 13:45:18.509+00","1200000","32","t","away ","f"
"119","5","2018-01-08 12:22:55.528+00","2018-01-08 12:18:37.776+00","240000","32","t","toilet break","f"
"120","6","2018-01-08 13:20:47.671+00","2018-01-08 13:10:27.482+00","600000","32","t","break","f"
"121","14","2018-01-08 13:56:39.737+00","2018-01-08 13:45:19.159+00","660000","42","t","tea room break","f"
"122","7","2018-01-08 14:26:44.239+00","2018-01-08 14:20:27.786+00","360000","32","t","toilet break","f"
"123","8","2018-01-11 13:46:05.393+00","2018-01-11 12:46:39.356+00","2640000","32","t","pilates","f"
"124","1","2018-01-16 14:07:00.197+00","2018-01-16 13:06:25.751+00","3600000","42","f","","f"
"125","2","2018-01-17 12:15:27.196+00","2018-01-17 10:52:03.966+00","1020000","42","t","","f"
"126","3","2018-01-17 14:17:08.655+00","2018-01-17 13:45:40.406+00","1440000","42","t","activr","f"
"127","4","2018-01-18 10:11:52.884+00","2018-01-18 10:07:39.951+00","240000","42","t","","f"
"128","9","2018-01-19 09:12:56.06+00","2018-01-19 00:15:09.668+00","31500000","32","t","forgot to stop tracking sorry","f"
"129","1","2018-01-22 13:07:26.069+00","2018-01-22 12:00:08.436+00","4020000","32","t","yoga","f"
"130","2","2018-01-22 15:26:51.569+00","2018-01-22 15:15:37.921+00","660000","32","t","walk","f"
"131","3","2018-01-23 10:23:23.82+00","2018-01-23 10:13:08.984+00","600000","32","t","break","f"
"132","4","2018-01-23 11:01:28.951+00","2018-01-23 10:54:02.091+00","360000","32","t","walk","f"
"133","5","2018-01-25 09:37:37.875+00","2018-01-25 08:50:05.272+00","2820000","32","f","forgot to start tracking","f"
"134","6","2018-01-25 13:37:33.27+00","2018-01-25 12:33:18.492+00","3840000","32","t","pilates","f"
"135","7","2018-01-25 13:38:02.803+00","2018-01-25 11:33:49.317+00","3840000","32","f","meeting","f"
"136","8","2018-01-31 11:00:26.11+00","2018-01-31 10:02:44.51+00","240000","32","t","break","f"
"137","9","2018-01-31 11:00:50.141+00","2018-01-31 10:50:31.344+00","600000","32","t","break","f"
"138","1","2018-02-01 15:25:49.173+00","2018-02-01 14:32:25.9+00","1380000","29","f","test","f"
"139","1","2018-02-06 13:48:30.564+00","2018-02-06 13:02:02.534+00","2760000","30","t","lunch break","f"
"140","10","2018-02-13 17:06:36.236+00","2018-02-13 12:30:06.618+00","3600000","32","t","pilates","f"
"141","1","2018-03-02 09:11:56.547+00","2018-03-02 09:09:31.356+00","0","54","f","I have done routine turn off blue and app kill the app and turned it back on.waited thirty secs still says not connected. repeated the process. ","f"
"142","2","2018-03-02 09:16:25.249+00","2018-03-02 09:16:05.025+00","0","54","f","walked and made a drink","f"
"143","3","2018-03-02 10:19:12.862+00","2018-03-02 10:18:47.746+00","0","54","f","went for a walk and fetch a drink","f"
"144","4","2018-03-02 11:44:50.07+00","2018-03-02 11:44:24.994+00","0","54","f","1130 went for a walk and drink","f"
"145","5","2018-03-02 11:45:19.35+00","2018-03-02 11:44:53.058+00","0","54","f","1140 walked to theloo","f"
"146","6","2018-03-02 12:50:04.08+00","2018-03-02 12:26:45.726+00","0","54","f","1230to 1245. walked to canteen and back","f"
"147","7","2018-03-02 13:15:03.831+00","2018-03-02 13:14:39.885+00","0","54","f","walked to printer and back","f"
"148","8","2018-03-02 13:16:09.568+00","2018-03-02 13:15:51.825+00","0","54","f","it has just connected. ","f"
"149","9","2018-03-06 11:07:32.861+00","2018-03-06 11:06:35.805+00","0","54","f","1015_1020 walked to kitchen as the fire bell was alarming","f"
"150","10","2018-03-06 14:18:37.257+00","2018-03-06 14:17:43.986+00","0","54","f","went collect a drink from kitchen 1410  back at desk 1417","f"
"151","1","2018-03-06 14:19:22.613+00","2018-03-06 14:10:04.127+00","360000","53","t","","f"
"152","1","2018-03-06 15:07:45.94+00","2018-03-06 15:07:38.662+00","0","52","t","","f"
"153","2","2018-03-07 08:22:13.112+00","2018-03-07 08:21:38.758+00","0","52","f","cup device red light not going off","f"
"154","11","2018-03-07 08:52:07.35+00","2018-03-07 08:51:47.708+00","0","54","f","walked to fetch a drink","f"
"155","3","2018-03-07 09:26:42.937+00","2018-03-07 09:26:25.331+00","0","52","f","been for a walk but not registered","f"
"156","4","2018-03-07 10:41:12.448+00","2018-03-07 10:40:42.519+00","0","52","f","I've been for a walk but it didn't register","f"
"157","12","2018-03-07 11:26:08.468+00","2018-03-07 11:25:28.123+00","0","54","f","just been a walk and to the kitchen for a drink 10 mins
","f"
"158","13","2018-03-07 11:45:29.344+00","2018-03-07 11:45:08.765+00","0","54","f","kitchen 5 mins  and thentoilet","f"
"159","14","2018-03-07 16:14:17.381+00","2018-03-07 16:12:55.076+00","0","54","f","this is correct I walked to the beravement centre and back
the toilet and printer 3 times","f"
"160","15","2018-03-08 11:58:04.441+00","2018-03-08 11:57:22.154+00","0","54","f","drink 11ish
printer 3 times in last 30 mins","f"
"161","1","2018-03-08 13:26:50.767+00","2018-03-08 12:57:30.745+00","240000","55","t","","f"
"162","2","2018-03-12 14:03:49.459+00","2018-03-12 13:55:12.577+00","480000","53","f","went for a walk to collect printing","f"
"163","16","2018-03-12 16:41:52.678+00","2018-03-12 16:41:12.187+00","0","54","f","1215 went canteen 1240ish walked back","f"
"164","17","2018-03-12 16:42:19.778+00","2018-03-12 16:41:56.411+00","0","54","f","printer 5 times","f"
"165","18","2018-03-12 16:42:40.866+00","2018-03-12 16:42:22.395+00","0","54","f","drink visit 1545","f"
"166","3","2018-03-13 09:02:08.941+00","2018-03-13 08:50:32.365+00","420000","53","f","went to the downstairs office briefly","f"
"167","4","2018-03-13 10:18:01.014+00","2018-03-13 10:14:46.057+00","120000","53","f","went to the loo","f"
"168","19","2018-03-13 11:37:52.602+00","2018-03-13 11:36:42.206+00","0","54","f","1015 until about 1040 I went to c floor different offices","f"
"169","20","2018-03-13 11:39:08.204+00","2018-03-13 11:38:01.405+00","0","54","f","approx 11 ish back to c floor for the cake sale for approx 10  mins","f"
"170","2","2018-03-13 12:43:49.621+00","2018-03-13 12:39:40.224+00","240000","55","t","","f"
"171","5","2018-03-13 13:17:00.143+00","2018-03-13 12:16:28.447+00","3600000","52","f","went out for lunch. walked there and back.","f"
"172","6","2018-03-13 13:17:24.298+00","2018-03-13 12:17:04.959+00","3600000","52","f","I took my phone with me","f"
"173","5","2018-03-13 13:29:59.932+00","2018-03-13 13:26:38.246+00","120000","53","f","went to the printer","f"
"174","21","2018-03-13 15:13:23.142+00","2018-03-13 15:13:12.762+00","0","54","f","walked to printer","f"
"175","7","2018-03-13 16:06:56.369+00","2018-03-13 15:05:55.158+00","60000","52","f","the stretch of inactivity was not alerted to by the cup device","f"
"176","8","2018-03-14 14:33:44.009+00","2018-03-14 14:33:02.371+00","0","52","f","the cup device has been working well today. it's flashed each time I sat for more than 45 min","f"
"177","9","2018-03-15 09:46:21.049+00","2018-03-15 09:46:01.416+00","0","52","f","the cup device worked well","f"
"178","3","2018-03-16 14:08:56.132+00","2018-03-16 14:03:49.668+00","300000","55","t","","f"
"179","22","2018-03-17 12:14:43.618+00","2018-03-17 11:45:21.402+00","1020000","54","f","email ","f"
"180","23","2018-03-18 17:01:59.872+00","2018-03-18 16:50:45.335+00","660000","54","f","","f"
"181","10","2018-03-19 09:39:25.787+00","2018-03-19 09:38:42.347+00","0","52","f","the wristband disconnected but was near the phone. it's connected again now","f"
"182","11","2018-03-19 10:20:50.081+00","2018-03-19 10:20:15.527+00","0","52","f","disconnected.wifi is not working. I am reconnecting","f"
"183","1","2018-03-19 10:37:37.579+00","2018-03-19 10:37:15.633+00","0","58","f","approx 0930 went for a coffee","f"
"184","2","2018-03-19 10:42:21.979+00","2018-03-19 10:42:06.574+00","0","58","f","just been for a coffee","f"
"185","3","2018-03-19 11:19:58.125+00","2018-03-19 11:19:42.86+00","0","58","f","went to printer","f"
"186","4","2018-03-19 15:22:13.22+00","2018-03-19 15:21:30.083+00","0","58","f","during that 1 he 14 minutes Hayley and I went to the kitchen for a tea","f"
"187","5","2018-03-20 11:39:29.41+00","2018-03-20 09:06:14.038+00","300000","58","t","cup of tea","f"
"188","6","2018-03-20 11:40:28.949+00","2018-03-20 10:09:33.562+00","360000","58","f","cup of tea in kitchen","f"
"189","7","2018-03-20 11:41:06.046+00","2018-03-20 11:08:32.607+00","540000","58","f","cup of tea","f"
"190","4","2018-03-20 12:15:06.413+00","2018-03-20 11:35:27.378+00","600000","55","f","","f"
"191","8","2018-03-20 12:51:41.925+00","2018-03-20 11:50:01.733+00","1620000","58","f","went to the canteen","f"
"192","24","2018-03-21 15:29:10.582+00","2018-03-21 15:04:48.269+00","1080000","54","f","chat while sitting ","f"
"193","12","2018-03-19 11:12:12.446+00","2018-03-19 11:11:56.975+00","0","52","f","I'm not well and am going home ","f"
"194","5","2018-03-22 09:27:06.064+00","2018-03-22 09:24:59.694+00","120000","55","t","","f"
"195","13","2018-03-28 06:46:03.258+00","2018-03-28 06:44:52.631+00","0","52","f","I was off work for two days. I'm back now. next week I'll be off all week. then it will be back to normal.","f"
"196","14","2018-03-28 08:55:00.257+00","2018-03-28 08:54:25.428+00","0","52","f","I got up to go to the printer at 9:45","f"
"197","9","2018-03-28 09:27:50.93+00","2018-03-28 08:27:28.469+00","3600000","58","f","kitchen to get a drink","f"
